_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA.icrs,_DE.icrs
deg,deg, , , ,mag,deg,deg,mas,mas/yr,mas/yr,mas,mag, ,deg,deg
--------------,--------------,------,-----------,-----------,-----,------------,------------,-------,--------,--------,------,------,-,------------,------------
002.6444174840,59.67340678,860,00 10 34.65,+59 40 24.3,6.7,002.64438297,59.67341444,1.66,7.17,-3.15,0.61,-0.017, ,002.64441748,59.67340678
002.6606461528,-73.22438924,865,00 10 38.31,-73 13 28.0,6.66,002.65962298,-73.22443438,15.06,121.5,18.57,0.7,0.372, ,002.66064615,-73.22438924
002.6784777720,-12.57989671,873,00 10 42.75,-12 34 47.3,5.84,002.67810574,-12.57980381,15.35,149.39,-38.22,0.74,1, ,002.67847777,-12.57989671
002.6954206432,-34.86071509,881,00 10 46.84,-34 51 38.6,6.89,002.69516827,-34.86071198,4.7,85.2,-1.28,0.82,0.951, ,002.69542064,-34.86071509
002.7827272262,57.58794136,902,00 11 07.90,+57 35 16.5,6.68,002.78289623,57.58791462,4.43,-37.27,11,0.73,1.212, ,002.78272723,57.58794136
002.7901942132,-3.321388854,906,00 11 09.63,-03 19 16.9,6.74,002.79012709,-3.32135959,3.88,27.57,-12.04,0.89,1.025, ,002.79019421,-3.32138885
002.8160718061,-15.46797744,910,00 11 15.91,-15 28 02.4,4.89,002.81628415,-15.46732287,52.94,-84.2,-269.31,0.77,0.487, ,002.81607181,-15.46797744
002.8934169668,-27.79973666,930,00 11 34.42,-27 47 59.2,5.41,002.89340430,-27.7997782,5.61,4.61,17.09,0.92,1.346, ,002.89341697,-27.79973666
002.8971843607,-18.600657,932,00 11 35.30,-18 36 02.4,6.93,002.89707760,-18.60067836,7.77,41.63,8.79,0.88,0.994, ,002.89718436,-18.600657
002.9333692783,-35.13311958,950,00 11 43.89,-35 08 00.2,5.24,002.93286698,-35.13339606,45.85,169.01,113.75,0.66,0.459, ,002.93336928,-35.13311958
002.9835693880,-42.17214423,966,00 11 56.13,-42 10 19.3,6.53,002.98385733,-42.17203471,7.97,-87.8,-45.06,0.79,1.041, ,002.98356939,-42.17214423
002.9961878983,48.15239646,967,00 11 59.03,+48 09 08.5,6.18,002.99596734,48.15237121,5.93,60.54,10.39,0.7,1.467, ,002.99618790,48.15239646
003.0057304665,23.47174939,969,00 12 01.32,+23 28 18.3,6.58,003.00550041,23.47174032,6.88,86.82,3.73,0.76,0.99, ,003.00573047,23.47174939
003.0125866885,-13.81317915,973,00 12 03.02,-13 48 47.3,6.56,003.01259645,-13.81313737,6.05,-3.9,-17.19,0.87,1.074, ,003.01258669,-13.81317915
003.0337020588,53.62388777,981,00 12 08.05,+53 37 26.1,6.87,003.03354264,53.62391762,9.42,38.9,-12.28,0.74,0.262, ,003.03370206,53.62388777
003.0416082510,-17.93827767,983,00 12 09.95,-17 56 17.6,5.29,003.04145374,-17.93821766,5.33,60.48,-24.69,0.87,1.478, ,003.04160825,-17.93827767
003.1423542522,44.70719512,1009,00 12 34.08,+44 42 26.1,6.5,003.14201623,44.70724772,6.3,98.84,-21.64,0.82,1.112, ,003.14235425,44.70719512
003.2001790551,46.09540496,1026,00 12 47.96,+46 05 43.6,6.63,003.19984759,46.09543717,18.06,94.57,-13.25,0.76,0.402, ,003.20017906,46.09540496
003.2093532558,37.69365645,1030,00 12 50.24,+37 41 37.2,6.71,003.20935172,37.69366311,1.21,0.5,-2.74,0.8,-0.116, ,003.20935326,37.69365645
003.2663208159,-22.47017326,1046,00 13 03.91,-22 28 12.8,6.66,003.26630969,-22.47020965,6.07,4.23,14.97,0.95,0.961, ,003.26632082,-22.47017326
003.2895975539,16.92145623,1057,00 13 09.51,+16 55 17.9,6.52,003.28963960,16.92165199,7.17,-16.55,-80.54,0.78,1.05, ,003.28959755,16.92145623
003.3030425265,62.04087815,1063,00 13 12.64,+62 02 27.3,6.63,003.30266797,62.04092419,8.55,72.25,-18.94,0.63,0.226, ,003.30304253,62.04087815
003.3089701168,15.1835959,1067,00 13 14.15,+15 11 01.0,2.83,003.30895828,15.18361593,9.79,4.7,-8.24,0.81,-0.19, ,003.30897012,15.1835959
003.3317577588,-84.99397839,1074,00 13 19.55,-84 59 38.5,5.78,003.33145220,-84.99402068,4,10.97,17.4,0.49,1.71, ,003.33175776,-84.99397839
003.3496788116,26.98754547,1076,00 13 23.93,+26 59 15.4,6.24,003.34972158,26.98762497,8.08,-15.68,-32.71,1.15,0.68, ,003.34967881,26.98754547
003.3785015669,41.03536964,1086,00 13 30.94,+41 02 08.6,5.71,003.37889713,41.03572671,28.57,-122.76,-146.91,0.74,0.331,P,003.37850157,41.03536964
003.4260201618,-26.02234535,1096,00 13 42.22,-26 01 19.8,5.94,003.42591849,-26.02215399,3.22,37.59,-78.73,0.83,1.548, ,003.42602016,-26.02234535
003.4349060982,-26.28495899,1099,00 13 44.38,-26 17 05.9,6.14,003.43491480,-26.28498303,4.23,-3.21,9.89,0.8,1.49, ,003.43490610,-26.28495899
003.4378661070,-48.68418722,1101,00 13 45.10,-48 41 02.9,6.97,003.43792976,-48.68413239,9.78,-17.29,-22.56,0.91,0.18, ,003.43786611,-48.68418722
003.4395771289,-23.21478375,1102,00 13 45.42,-23 12 52.6,6.86,003.43924091,-23.21460158,6.48,127.13,-74.95,0.94,1.096, ,003.43957713,-23.21478375
003.4482314273,1.383585893,1107,00 13 47.59,+01 23 01.0,6.79,003.44829323,1.38362257,2.79,-25.42,-15.09,0.81,1.257, ,003.44823143,1.38358589
003.4841417978,59.99931868,1118,00 13 56.18,+59 59 57.6,6.91,003.48410150,59.99934311,3.11,8.29,-10.05,0.74,1.12, ,003.48414180,59.99931868
003.5095046622,33.20603919,1123,00 14 02.29,+33 12 21.9,6.22,003.50952703,33.20608481,11.13,-7.7,-18.77,0.73,0.009, ,003.50950466,33.20603919
003.5173689779,-74.91200177,1126,00 14 04.06,-74 54 43.4,6.97,003.51691854,-74.91206044,2.4,48.24,24.14,0.59,1.341,P,003.51736898,-74.91200177
003.5612814322,-55.0696617,1140,00 14 14.71,-55 04 10.5,6.66,003.56129370,-55.06959061,21.62,-2.89,-29.25,0.68,0.462, ,003.56128143,-55.0696617
003.5867306848,-62.77195152,1146,00 14 20.81,-62 46 19.1,6.63,003.58669233,-62.77197869,2.53,7.22,11.18,0.62,1.697,P,003.58673068,-62.77195152
003.5866674823,-21.19696207,1147,00 14 20.85,-21 11 47.0,6.89,003.58685990,-21.19639424,18.19,-73.81,-233.62,0.9,0.502, ,003.58666748,-21.19696207
003.6151175260,-7.780532104,1158,00 14 27.59,-07 46 49.9,5.13,003.61496786,-7.78053784,5.21,61.01,2.36,0.79,1.601,P,003.61511753,-7.7805321
003.6167610152,-14.43178506,1161,00 14 28.07,-14 25 53.3,6.95,003.61695916,-14.43147791,12.17,-78.95,-126.37,0.82,0.494, ,003.61676102,-14.43178506
003.6405688849,41.03264235,1164,00 14 33.69,+41 01 57.3,6.68,003.64038545,41.03258105,4.48,56.93,25.22,0.83,1.172, ,003.64056888,41.03264235
003.6506852758,20.20670177,1168,00 14 36.11,+20 12 24.1,4.79,003.65045047,20.2066972,10.01,90.66,1.88,0.77,1.572, ,003.65068528,20.20670177
003.6600665162,-18.93286561,1170,00 14 38.43,-18 55 57.7,4.44,003.66013628,-18.93268628,6.62,-27.15,-73.78,0.82,1.64,P,003.66006652,-18.93286561
003.6685961826,-14.80523972,1176,00 14 40.39,-14 48 18.5,6.63,003.66828731,-14.80514201,7.76,122.86,-40.2,0.78,1.03, ,003.66859618,-14.80523972
003.7008730537,-14.17769899,1185,00 14 48.25,-14 10 39.3,6.82,003.70105117,-14.17758298,11.33,-71.05,-47.73,0.89,0.257, ,003.70087305,-14.17769899
003.7271447743,-9.569571068,1191,00 14 54.50,-09 34 10.4,5.77,003.72708897,-9.56955053,9.4,22.64,-8.45,0.78,-0.084, ,003.72714477,-9.56957107
003.7323441564,-3.027412396,1192,00 14 55.79,-03 01 38.5,6.64,003.73247890,-3.02735083,4.57,-55.36,-25.33,0.91,1.499, ,003.73234416,-3.0274124
003.7329126207,22.28422511,1193,00 14 55.87,+22 17 03.3,6.25,003.73279426,22.28425185,9.18,45.06,-11,0.71,-0.004, ,003.73291262,22.28422511
003.7427588613,-34.90422288,1195,00 14 58.21,-34 54 15.1,6.17,003.74253202,-34.90419374,4.41,76.54,-11.99,0.87,1.344, ,003.74275886,-34.90422288
003.7451639338,8.820962133,1196,00 14 58.78,+08 49 15.7,6.02,003.74492370,8.8210228,12.47,97.67,-24.96,1.28,0.312, ,003.74516393,8.82096213
003.7789598824,31.53572466,1208,00 15 06.93,+31 32 08.7,6.34,003.77886512,31.53573771,2.47,33.23,-5.37,0.72,1.555, ,003.77895988,31.53572466
003.7940177943,27.28343979,1215,00 15 10.55,+27 17 00.5,6.35,003.79397762,27.28347715,7.92,14.69,-15.37,0.82,-0.002, ,003.79401779,27.28343979
003.8243032433,44.20339681,1233,00 15 17.83,+44 12 12.2,6.76,003.82428012,44.20339841,4.05,6.82,-0.66,0.76,-0.046, ,003.82430324,44.20339681
